iter	RMSE
324	0.1819983882
325	0.1819046919
326	0.1817823236
327	0.1816442927
328	0.1814630953
329	0.1813719351
330	0.1811464056
331	0.1809789691
332	0.1807256874
333	0.1805634906
334	0.1803374116
335	0.1802143678
336	0.1800993981
337	0.180028636
338	0.179888902
339	0.1796891454
340	0.1795681145
341	0.1794688324
342	0.1793886061
343	0.1793275408
344	0.1792137736
345	0.1791076224
346	0.1789008811
347	0.1787971628
348	0.1786619137
349	0.1784849005
350	0.1783852107
351	0.1782237148
352	0.1781097725
353	0.1780169226
354	0.1779144347
355	0.1777648394
356	0.1776404415
357	0.1774272726
358	0.1773513019
359	0.1772494121
360	0.1771706083
361	0.1770340998
362	0.1769964328
363	0.1768933213
364	0.176683412
365	0.1764639654
366	0.1763374683
367	0.1762630108
368	0.1761243821
369	0.1758646788
370	0.1756535677
371	0.1755329325
372	0.1754391021
373	0.1753245527
374	0.175205027
375	0.1751089765
376	0.1749796213
377	0.1747968673
378	0.1746377381
379	0.1745924528
380	0.1745047024
381	0.1743924248
382	0.1743015153
383	0.1742207083
384	0.1741086949
385	0.1739718939
386	0.1739223321
387	0.1737936436
388	0.1737105653
389	0.1735354963
390	0.1733795125
391	0.1732254434
392	0.1730647251
393	0.1729209262
394	0.1728489736
395	0.1727212681
396	0.1726207043
397	0.172568514
398	0.1724687239
399	0.1722607678
400	0.1720869006
401	0.1719635115
402	0.1718485158
403	0.1717097242
404	0.1716408116
405	0.1714803949
406	0.1713260776
407	0.1712198326
408	0.1711793166
409	0.1710040047
410	0.1708956083
411	0.1707031165
412	0.1705457115
413	0.1704052664
414	0.1702992657
415	0.170188518
416	0.1700706131
417	0.1700093107
418	0.1698815158
419	0.1698183364
420	0.1697227386
421	0.1696246703
422	0.1695177101
423	0.1694242586
424	0.1693004471
425	0.1691374451
426	0.168931123
427	0.1687557565
428	0.1685679066
429	0.1684586099
430	0.1683523246
431	0.1682319584
432	0.1681056739
433	0.1678962078
434	0.1677468433
435	0.1676225969
436	0.1674993895
437	0.16740318
438	0.1672786755
439	0.1671718324
440	0.1670296435
441	0.1668934934
442	0.1667569857
443	0.1665858974
444	0.1665165798
445	0.1663899162
446	0.1663021987
447	0.1661360779
448	0.1660464461
449	0.1659174645
450	0.1658077534
451	0.1657372953
452	0.1656384913
453	0.1655637792
454	0.165432936
455	0.165385419
456	0.1651922699
457	0.1650920907
458	0.1649912428
459	0.1648816478
460	0.1647343108
461	0.164583368
462	0.1644944132
463	0.1643977536
464	0.1643060998
465	0.1641788075
466	0.1640571465
467	0.1639396956
468	0.1638566053
469	0.1637982035
470	0.1636368213
471	0.1635874393
472	0.163430004
473	0.1633456721
474	0.1633016713
475	0.1632101057
476	0.163127661
477	0.163025205
478	0.1628969251
479	0.162796746
480	0.1627039754
481	0.162628113
482	0.1625360678
483	0.1624260879
484	0.1623542347
485	0.1622900924
486	0.1621295778
487	0.1619830083
488	0.161814222
489	0.1616482211
490	0.1615097718
491	0.1614085725
492	0.1612596606
493	0.1610989415
494	0.160982224
495	0.1609043817
496	0.1608035212
497	0.160737825
498	0.1606594543
499	0.1605804378
